0,0.03,0,4.8,0.351972298,0.191190619,0.202804098,6.57504207,1.908140784,5.71E-009,0.001408116,3.278779135,0.050535354,0.210455879,5.720977255,0.863278018,0.00472323,0.001416969,0.000141697,0.001,3.62E-005,0.001026848,0.001,0.001,0.011389032,0.011389032,7.48E-005,0.000292771,0.004290789,0.000220477,0.000491491,0.000999714,0.000336947,0.001,0.000242131,0.000377962,0.000987493,0.002501893,0.09647707,0.00352292,0.003,0.000299098,0.006990902,0.005943273,0.001346727,0.00729,0.001163813,0.006126187
1000,0.0359151389,0.0021737055,4.7875425699,0.3937323032,0.1977533073,0.2027854796,6.5737370999,1.9081242485,5.44E-009,0.0014344846,3.3400752998,0.0494341104,0.2104528928,5.7206951667,0.8629910089,0.0047233914,0.0014170174,0.0001417018,0.001,3.62E-005,0.0010268433,0.001,0.001,0.0113907318,0.0113890425,7.48E-005,0.0002927688,0.004290712,0.0002206594,0.0004914876,0.0009997428,0.0003369625,0.000999992,0.000242129,0.0003779466,0.0009875402,0.0025018841,0.0964773983,0.0035225917,0.003,0.0002992122,0.0069907878,0.0059433743,0.0013466257,0.00729,0.0011641387,0.0061258613
2000,0.0429967488,0.0046827759,4.7726283115,0.4025210394,0.1990201762,0.2027979524,6.5733985102,1.9082074767,5.39E-009,0.001439512,3.351919835,0.0492326221,0.2104631967,5.7210965724,0.8630227489,0.0047236107,0.0014170832,0.0001417084,0.001,3.62E-005,0.0010268459,0.001,0.001,0.0113921236,0.0113890508,7.48E-005,0.0002927696,0.0042909032,0.0002206231,0.000491489,0.0009998133,0.0003369855,0.0009999841,0.0002421258,0.0003779355,0.0009876104,0.002501869,0.0964771784,0.0035228116,0.003,0.0002992417,0.0069907583,0.0059433068,0.0013466932,0.00729,0.0011641027,0.0061258973
3000,0.0514747435,0.0076520649,4.7547725582,0.4063651933,0.1995650314,0.2028094004,6.5731991451,1.9082867273,5.37E-009,0.0014416627,3.3569798102,0.0491479821,0.2104729765,5.7214910534,0.8630771662,0.0047238143,0.0014171443,0.0001417145,0.001,3.62E-005,0.0010268548,0.001,0.001,0.0113932622,0.0113890565,7.48E-005,0.0002927731,0.0042911061,0.0002205757,0.0004914945,0.0009998854,0.0003370087,0.0009999801,0.0002421227,0.0003779269,0.0009876811,0.0025018532,0.0964769767,0.0035230133,0.003,0.0002992592,0.0069907408,0.0059432448,0.0013467552,0.00729,0.0011640411,0.0061259589
4000,0.0616244405,0.0111864941,4.7333952619,0.4085061736,0.1998678894,0.2028192336,6.5730603199,1.9083552306,5.35E-009,0.0014428538,3.3597753492,0.0491020819,0.2104813488,5.7218342444,0.8631264748,0.0047239921,0.0014171976,0.0001417198,0.001,3.62E-005,0.0010268679,0.001,0.001,0.0113941934,0.01138906,7.48E-005,0.0002927784,0.0042912923,0.000220535,0.0004915029,0.0009999516,0.0003370305,0.0009999794,0.0002421196,0.0003779201,0.0009877473,0.002501838,0.0964768034,0.0035231866,0.003,0.0002992713,0.0069907287,0.0059431916,0.0013468084,0.00729,0.0011639852,0.0061260148
5000,0.0737754524,0.0154033644,4.7078020392,0.4098561554,0.2000596666,0.2028275655,6.5729576115,1.9084129479,5.34E-009,0.0014436064,3.3615342062,0.0490736989,0.2104883266,5.7221239906,0.8631658846,0.004724144,0.0014172432,0.0001417244,0.001,3.62E-005,0.0010268835,0.001,0.001,0.0113949549,0.0113890618,7.48E-005,0.0002927848,0.0042914556,0.0002205033,0.000491513,0.0010000101,0.0003370503,0.0009999809,0.0002421169,0.0003779146,0.0009878075,0.0025018238,0.0964766565,0.0035233335,0.003,0.0002992802,0.0069907198,0.0059431465,0.0013468535,0.00729,0.0011639405,0.0061260595
6000,0.0883223868,0.0204403676,4.6771616004,0.4107751992,0.2001912099,0.202834621,6.5728795754,1.9084610852,5.34E-009,0.0014441226,3.3627329287,0.0490546483,0.2104940818,5.7223658636,0.8631955488,0.0047242729,0.0014172819,0.0001417282,0.001,3.62E-005,0.0010269005,0.001,0.001,0.0113955776,0.0113890624,7.48E-005,0.0002927918,0.004291596,0.0002204801,0.000491524,0.001000061,0.0003370679,0.0009999837,0.0002421144,0.0003779102,0.0009878611,0.0025018109,0.0964765322,0.0035234578,0.003,0.0002992871,0.0069907129,0.0059431083,0.0013468917,0.00729,0.0011639069,0.0061260931
7000,0.105737658,0.0264610589,4.6404787507,0.4114336251,0.2002863333,0.2028406317,6.572819614,1.9085010368,5.34E-009,0.0014444964,3.3635939824,0.0490411483,0.2104988052,5.7225667846,0.8632167246,0.0047243818,0.0014173146,0.0001417315,0.001,3.62E-005,0.0010269178,0.001,0.001,0.0113960867,0.0113890619,7.48E-005,0.0002927989,0.0042917152,0.0002204639,0.0004915353,0.0010001051,0.0003370834,0.0009999871,0.0002421122,0.0003779065,0.0009879082,0.0025017994,0.0964764262,0.0035235638,0.003,0.0002992923,0.0069907077,0.0059430757,0.0013469243,0.00729,0.0011638829,0.0061261171
8000,0.1265868257,0.0336605712,4.5965620712,0.4119264663,0.2003581656,0.2028458109,6.5727733882,1.9085340985,5.33E-009,0.0014447794,3.3642398353,0.0490311338,0.2105026699,5.7227333097,0.8632306997,0.0047244739,0.0014173422,0.0001417342,0.001,3.62E-005,0.0010269349,0.001,0.001,0.011396503,0.0113890607,7.48E-005,0.000292806,0.004291815,0.0002204536,0.0004915465,0.0010001434,0.0003370969,0.0009999907,0.0002421102,0.0003779035,0.0009879493,0.0025017891,0.0964763349,0.0035236551,0.003,0.0002992963,0.0069907037,0.0059430477,0.0013469523,0.00729,0.0011638671,0.0061261329
9000,0.1515469571,0.0422727017,4.5439852306,0.4122882993,0.200411807,0.2028503591,6.5727382229,1.9085614857,5.33E-009,0.0014449915,3.3647236897,0.0490239663,0.2105058365,5.7228715537,0.8632388961,0.0047245519,0.0014173656,0.0001417366,0.001,3.62E-005,0.0010269514,0.001,0.001,0.0113968434,0.0113890589,7.48E-005,0.0002928129,0.0042918979,0.0002204478,0.0004915573,0.0010001767,0.0003371086,0.0009999941,0.0002421085,0.0003779009,0.0009879848,0.00250178,0.0964762548,0.0035237352,0.003,0.0002992994,0.0069907006,0.0059430231,0.0013469769,0.00729,0.0011638578,0.0061261422
